OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean	taxonomy
3236435	2.5180968006	0.112546344624	1.0	1.0	14.2243902439	6.91814159292	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
1105984	2.51562936659	0.112722621768	1.0	1.0	7.5	15.0398230088	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
3232988	2.49932983937	0.113894754585	1.0	1.0	2.5512195122	7.59513274336	k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__; g__; s__
338754	2.47678262029	0.11553838312	1.0	1.0	0.121951219512	2.70575221239	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4482374	2.46154814568	0.116663745581	1.0	1.0	6.80487804878	13.9668141593	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii
4479467	2.44680526094	0.117764332117	1.0	1.0	5.21707317073	1.2389380531	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__rhizophila
4454529	2.40846057128	0.120680990145	1.0	1.0	1.23170731707	5.16150442478	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__; s__
290455	2.38753247608	0.122306545759	1.0	1.0	2.53658536585	0.0929203539823	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
4476527	2.29285989349	0.129970244579	1.0	1.0	163.368292683	137.115044248	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
4468391	2.29258272563	0.129993451589	1.0	1.0	74.1341463415	56.8008849558	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
