OTU	Test-Statistic	P	FDR_P	Bonferroni_P	8 or more hours_mean	7-8 hours_mean	6-7 hours_mean	5-6 hours_mean	Less than 5 hours_mean	taxonomy
4403115	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Facklamia; s__
178428	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0243309002433	0.00337837837838	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
640055	0.658524380355	0.956343475847	1.0	1.0	0.0	0.014598540146	0.0135135135135	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
1129599	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__nitrogenifigens
295350	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0924574209246	0.0236486486486	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4450385	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00973236009732	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
1017266	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
664473	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0194647201946	0.00675675675676	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dokdonella; s__
389854	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__
97210	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
